,literal,media,varianta,deviatia standard,skewness,numarul de synset-uri cu zero propozitii,numar de propozitii
3833,membrană,1.4499999999999997,1.7974999999999999,1.3407087677791922,0.013382164692773646,0,56
3834,participant,2.7228915662650603,2.1762229641457393,1.4752026857844787,-0.6195077259859889,0,83
3835,plimbare,1.5333333333333334,0.7155555555555555,0.8459051693633013,-1.2609766499825616,1,30
3836,negustor,0.2,0.3600000000000001,0.6000000000000001,2.666666666666666,2,40
3837,misionar,0.85,0.1275,0.3570714214271425,-1.9603921176392138,0,24
3838,observație,1.7125,2.7298437499999997,1.6522238801082618,2.0266340362520534,3,80
3839,percepție,1.794871794871795,0.9322813938198553,0.9655471991673195,-0.6064046154780443,0,44
3840,zvon,0.2,0.16000000000000003,0.4,1.5,0,21
3841,secundă,1.35,1.8275000000000001,1.3518505834595775,0.1369152194430961,0,44
3842,manual,0.6363636363636364,0.41322314049586784,0.6428243465332251,0.5091168824543145,1,11
3843,tăcere,0.8333333333333333,0.40555555555555556,0.6368324391514266,0.15774419584910604,0,32
3844,spirit,1.5,4.421428571428571,2.102719327782139,1.3368334153207897,1,81
3845,marinar,1.1666666666666667,0.9388888888888889,0.9689627902499088,-0.33790376355481616,0,31
3846,pânză,1.1333333333333333,0.11555555555555555,0.339934634239519,2.1572774865200244,1,37
3847,modul,1.9,0.13999999999999999,0.3741657386773941,-1.0881350563577272,1,45
3848,somn,1.1199999999999999,0.3455999999999999,0.5878775382679626,4.694855340334427,3,51
3849,muncitor,1.025,0.024375,0.15612494995995996,6.084869844593313,2,44
3850,întârziere,0.775,0.774375,0.8799857953399021,0.8938345908613086,0,40
3851,încercare,3.68,5.517600000000001,2.3489572154468887,0.1458005861455499,1,105
3852,preajmă,0.16666666666666666,0.1388888888888889,0.37267799624996495,1.7888543819998322,1,24
3853,pensie,2.0999999999999996,0.94,0.9695359714832658,-0.8591519530006748,0,40
3854,principiu,2.05,0.8975,0.9473647660748208,-0.4525087095814427,0,41
3855,mandat,1.7625,2.63109375,1.6220646565411625,1.3181370428653718,1,85
3856,satelit,0.85,0.8274999999999999,0.9096702699330126,0.29989950940554044,2,40
3857,patron,0.4,0.44000000000000006,0.66332495807108,1.3979162339514495,0,30
3858,raft,0.38461538461538464,0.23668639053254442,0.48650425541051995,0.4743416490252568,0,16
3859,urmaș,2.52,2.0496,1.4316424134538623,-0.26513496021455046,0,50
3860,mină,0.7166666666666667,1.6363888888888887,1.2792141684991176,1.6387311638247521,1,105
3861,susținere,0.8750000000000001,1.2593750000000001,1.1222187843731721,0.6716355980338053,0,51
3862,tur,0.025,0.024374999999999997,0.15612494995995996,6.08486984459331,2,41
3863,operație,2.3,2.343333333333333,1.5307950004273376,-0.037912969624653764,0,66
3864,mareșal,1.2666666666666666,0.39555555555555555,0.6289320754704403,-0.2763140541140171,0,36
3865,încheiere,2.7375,4.66859375,2.16069288655283,0.808643222968487,0,81
3866,închidere,0.55,0.9975,0.998749217771909,1.5937227233671638,0,67
3867,mulțime,6.253846153846154,10.65094674556213,3.2635788247814896,-0.23447905442215256,0,138
3868,urmărire,2.9672131147540983,2.294006987368987,1.5145979622886685,-0.7654545746398053,0,64
3869,pauză,2.242857142857143,5.441020408163265,2.332599495876492,0.6309009131197749,0,75
3870,nenorocit,3.55944055944056,4.484229057655631,2.117599834164999,2.4734867464081067,2,184
3871,treaptă,3.071428571428571,1.9520408163265306,1.3971545427498457,1.0983844325633179,3,70
3872,posesie,0.1,0.15666666666666665,0.3958114029012639,4.063830972295458,0,30
3873,rană,1.0333333333333334,0.03222222222222222,0.17950549357115014,5.199469468957449,1,33
3874,margine,1.5636363636363635,3.4459504132231404,1.8563271299054864,2.3297924723204275,3,138
3875,încălcare,0.55,1.0975000000000001,1.0476163419878481,1.4983575661475945,1,43
3876,vedetă,0.2,0.16000000000000003,0.4,1.5,0,20
3877,masiv,1.1666666666666667,2.8055555555555554,1.674979270186815,1.9703706736831466,5,12
3878,sergent,0.45454545454545453,0.2479338842975206,0.49792959773196915,0.18257418583505525,0,11
3879,teamă,0.675,0.919375,0.9588404455382553,1.1975928646002691,0,40
3880,pericol,3.528571428571429,5.534897959183674,2.3526363848210106,-0.2037394869720759,0,72
3881,tobă,0.24999999999999997,0.6375,0.7984359711335656,3.05744800941573,1,42
3882,mozaic,0.8611111111111112,1.23070987654321,1.10937364153977,0.8861819810485826,0,36
3883,șah,0.95,0.7474999999999999,0.8645808232895291,0.32842098811995857,0,40
3884,lot,1.8,0.51,0.714142842854285,-0.9225374671243365,0,41
3885,preocupare,3.55,3.5975,1.8967076738390658,-0.1652034224087231,1,82
3886,tun,2.9000000000000004,0.09000000000000001,0.30000000000000004,-2.666666666666669,3,50
3887,testare,1.7200000000000002,1.3616000000000001,1.1668761716651859,0.028760992686040432,0,52
3888,învățare,0.8500000000000001,0.4275,0.653834841531101,0.16367672241057596,1,46
3889,mers,0.8,0.9600000000000002,0.9797958971132713,1.046136244313649,0,51
3890,noroc,2.2,3.5933333333333337,1.8956089610817242,0.3429466613238124,0,123
3891,pistă,1.6,1.92,1.3856406460551018,0.6946245426187683,0,56
3892,trădare,1.2380952380952381,0.6575963718820861,0.8109231602822096,-0.459651689068406,0,22
3893,specializare,1.7600000000000002,2.4623999999999997,1.5692036196746424,0.4002974121856712,0,50
3894,serviciu,6.666666666666666,19.932367149758452,4.464567968993019,0.618358706790019,3,78
3895,respirație,0.8,0.36,0.6,0.11111111111111094,0,37
3896,știre,1.6,1.79,1.3379088160259651,-0.05762348759763569,0,42
3897,ordin,6.836363636363636,6.391404958677686,2.5281228132109574,-0.737243207688089,0,167
3898,suflet,0.2682926829268293,0.44021415823914334,0.6634863662797778,2.1445415699857886,1,41
3899,transmitere,0.025,0.024374999999999997,0.15612494995995996,6.08486984459331,2,41
3900,neutralitate,0.2,0.29333333333333333,0.5416025603090641,2.6184917171967146,0,30
3901,realizare,0.52,1.0296,1.0146920715172658,2.386476182786708,5,100
3902,observare,0.32,0.37760000000000005,0.6144916598294887,2.2614806803639294,1,50
3903,sticlă,1.8833333333333333,0.20305555555555557,0.4506168611531925,-3.7596534722611623,3,60
3904,rebeliune,1.22,2.2116,1.4871449156017043,0.5319890914399588,1,50
3905,verb,0.0,0.0,0.0,0.0,1,20
3906,părăsire,0.0,0.0,0.0,0.0,1,43
3907,slujbă,3.7124999999999995,5.504843749999999,2.3462403436135864,-0.15801007519707927,0,81
3908,restricție,2.3499999999999996,0.8275,0.9096702699330126,-1.3440679009570553,0,41
3909,negru,3.947916666666667,7.924370659722221,2.8150258719454464,-0.4119169806231113,10,118
3910,regină,3.5666666666666664,6.778888888888888,2.603629944690468,0.8872998708161874,1,119
3911,rang,1.3833333333333333,2.6030555555555557,1.6133987590039716,0.9604083088583727,0,63
3912,viță,0.58,1.8035999999999999,1.3429817571359635,2.033944406432511,1,91
3913,supă,1.4333333333333333,0.4455555555555556,0.6674994798166929,-0.7641327121389596,0,40
3914,socialism,0.45454545454545453,0.2479338842975206,0.49792959773196915,0.18257418583505525,0,11
3915,tablou,2.1333333333333333,0.7155555555555555,0.8459051693633013,1.5608012610517845,0,61
3916,procent,1.54,3.7284,1.9309065228539677,0.48096064916830517,2,51
3917,mediu,9.655737704918032,38.324106423004565,6.19064668859438,-0.5701295640063677,10,135
3918,porc,1.48,0.8496000000000001,0.9217374897442331,0.44180869602155304,1,53
3919,romantism,0.4166666666666667,0.24305555555555555,0.4930066485916347,0.33806170189140633,0,12
3920,magie,1.840909090909091,0.6337809917355373,0.7961036312789543,-0.7888777617530756,1,46
3921,scară,6.7785714285714285,13.672397959183675,3.69762058074969,0.16107567290655783,1,174
3922,reacție,3.742857142857143,0.7910204081632652,0.8893932809299074,-3.1290183630526314,1,70
3923,răspândire,0.6799999999999999,1.2576,1.1214276615100949,1.6734393896143012,1,50
3924,schimb,6.371069182389937,13.352873699616312,3.654158411948819,0.3051515771014352,1,159
3925,marmură,0.15,0.1275,0.3570714214271425,1.9603921176392138,0,20
3926,salvare,2.1999999999999997,0.96,0.9797958971132712,-0.5677202789263087,0,42
3927,privilegiu,1.2702702702702702,0.845872899926954,0.9197134879553274,-0.14266846946192385,0,38
3928,planificare,2.6,0.69,0.8306623862918074,-2.020388664830736,0,40
3929,secvență,0.5833333333333334,0.24305555555555558,0.4930066485916347,-0.33806170189140683,0,16
3930,numire,0.2857142857142857,0.7755102040816326,0.8806305718527109,2.7577641592229636,3,162
3931,violență,3.45,2.2808333333333337,1.5102428060856088,-1.5154826719560721,2,60
3932,panou,3.35,3.9941666666666666,1.998541134594599,-0.6121824106732006,0,93
3933,magnitudine,0.6153846153846154,0.23668639053254437,0.4865042554105199,-0.4743416490252571,0,17
3934,sugestie,1.75,0.5375000000000001,0.733143914930759,-1.094363009847969,0,41
3935,odihnă,2.98,1.2595999999999998,1.1223190277278559,-1.4037305187034341,0,53
3936,prosperitate,1.35,1.0775000000000001,1.0380269746013349,-0.2004963789422748,0,50
3937,parlamentar,2.0,0.2857142857142857,0.5345224838248488,-1.8708286933869702,1,21
3938,priveliște,0.2,0.16000000000000003,0.4,1.5,0,26
3939,redactare,0.35714285714285715,0.22959183673469385,0.4791574237499549,0.5962847939999437,0,14
3940,sclav,2.711111111111111,2.6498765432098765,1.6278441397166612,-0.08536273035502173,0,45
3941,rezoluție,2.9,0.9299999999999999,0.9643650760992954,-1.1373018587365955,0,60
3942,primire,1.6,2.08,1.4422205101855958,0.48002901596414027,0,50
3943,întuneric,1.8723404255319147,1.4730647351742867,1.2136987827192902,-0.040308012165100826,0,55
3944,placă,4.659574468085106,4.926663648709823,2.219608895438524,-0.03437231943569852,0,127
3945,vânătoare,1.8000000000000003,1.36,1.1661903789690602,-0.36317347441943115,0,26
3946,tactică,1.5483870967741935,0.8928199791883455,0.9448915171533426,-0.13942259626831055,0,31
3947,terminare,0.9,0.8900000000000001,0.9433981132056605,0.20008948746187477,0,40
